Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
HDBSCAN,B-Clustering,0.2643,0.1,0.34,SupresionBrote,0.2,20,260,eeg
HDBSCAN,B-Clustering,0.2643,0.1,0.34,CanalDesconectado,0.0,20,260,eeg
HDBSCAN,B-Clustering,0.2643,0.1,0.34,ParpadeoOcular,0.2,20,260,eeg
HDBSCAN,B-Clustering,0.2643,0.1,0.34,InterferenciaRed,0.0,20,260,eeg
LOF,B-Clustering,0.8857,0.1,0.0546,CrisisEpileptica,1.0,20,260,eeg
LOF,B-Clustering,0.8857,0.1,0.0546,PopElectrodo,1.0,20,260,eeg
LOF,B-Clustering,0.8857,0.1,0.0546,ArtefactoMuscular,0.75,20,260,eeg
LOF,B-Clustering,0.8857,0.1,0.0546,SupresionBrote,0.95,20,260,eeg
LOF,B-Clustering,0.8857,0.1,0.0546,CanalDesconectado,0.5,20,260,eeg
LOF,B-Clustering,0.8857,0.1,0.0546,ParpadeoOcular,1.0,20,260,eeg
LOF,B-Clustering,0.8857,0.1,0.0546,InterferenciaRed,1.0,20,260,eeg
OPTICS,B-Clustering,1.0,0.0538,0.0,CrisisEpileptica,1.0,20,260,eeg
OPTICS,B-Clustering,1.0,0.0538,0.0,PopElectrodo,1.0,20,260,eeg
OPTICS,B-Clustering,1.0,0.0538,0.0,ArtefactoMuscular,1.0,20,260,eeg
OPTICS,B-Clustering,1.0,0.0538,0.0,SupresionBrote,1.0,20,260,eeg
OPTICS,B-Clustering,1.0,0.0538,0.0,CanalDesconectado,1.0,20,260,eeg
OPTICS,B-Clustering,1.0,0.0538,0.0,ParpadeoOcular,1.0,20,260,eeg
OPTICS,B-Clustering,1.0,0.0538,0.0,InterferenciaRed,1.0,20,260,eeg
IForest,C-ML,0.55,0.1,0.2889,CrisisEpileptica,1.0,20,260,eeg
IForest,C-ML,0.55,0.1,0.2889,PopElectrodo,0.45,20,260,eeg
IForest,C-ML,0.55,0.1,0.2889,ArtefactoMuscular,0.45,20,260,eeg
IForest,C-ML,0.55,0.1,0.2889,SupresionBrote,0.4,20,260,eeg
IForest,C-ML,0.55,0.1,0.2889,CanalDesconectado,0.0,20,260,eeg
IForest,C-ML,0.55,0.1,0.2889,ParpadeoOcular,0.55,20,260,eeg
IForest,C-ML,0.55,0.1,0.2889,InterferenciaRed,1.0,20,260,eeg
OCSVM,C-ML,0.9857,0.1,0.2539,CrisisEpileptica,1.0,20,260,eeg
OCSVM,C-ML,0.9857,0.1,0.2539,PopElectrodo,1.0,20,260,eeg
OCSVM,C-ML,0.9857,0.1,0.2539,ArtefactoMuscular,0.9,20,260,eeg
OCSVM,C-ML,0.9857,0.1,0.2539,SupresionBrote,1.0,20,260,eeg
OCSVM,C-ML,0.9857,0.1,0.2539,CanalDesconectado,1.0,20,260,eeg
OCSVM,C-ML,0.9857,0.1,0.2539,ParpadeoOcular,1.0,20,260,eeg
OCSVM,C-ML,0.9857,0.1,0.2539,InterferenciaRed,1.0,20,260,eeg
Autoencoder,C-ML,0.8143,0.1,0.049,CrisisEpileptica,1.0,20,260,eeg
Autoencoder,C-ML,0.8143,0.1,0.049,PopElectrodo,1.0,20,260,eeg
Autoencoder,C-ML,0.8143,0.1,0.049,ArtefactoMuscular,0.75,20,260,eeg
Autoencoder,C-ML,0.8143,0.1,0.049,SupresionBrote,0.9,20,260,eeg
Autoencoder,C-ML,0.8143,0.1,0.049,CanalDesconectado,0.05,20,260,eeg
Autoencoder,C-ML,0.8143,0.1,0.049,ParpadeoOcular,1.0,20,260,eeg
Autoencoder,C-ML,0.8143,0.1,0.049,InterferenciaRed,1.0,20,260,eeg
