Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
GMM,A-Estadistico,0.4071,0.1,0.1474,DesacopleCanales,0.0,20,300,ambiental
GMM,A-Estadistico,0.4071,0.1,0.1474,RafagaMuestreo,1.0,20,300,ambiental
KMeans,B-Clustering,0.4,0.1,0.2651,SaltoCalibracion,0.35,20,300,ambiental
KMeans,B-Clustering,0.4,0.1,0.2651,DerivaSensor,0.65,20,300,ambiental
KMeans,B-Clustering,0.4,0.1,0.2651,SensorCongelado,0.25,20,300,ambiental
KMeans,B-Clustering,0.4,0.1,0.2651,PicoTransitorio,0.25,20,300,ambiental
KMeans,B-Clustering,0.4,0.1,0.2651,RuidoElectronico,0.3,20,300,ambiental
KMeans,B-Clustering,0.4,0.1,0.2651,DesacopleCanales,0.0,20,300,ambiental
KMeans,B-Clustering,0.4,0.1,0.2651,RafagaMuestreo,1.0,20,300,ambiental
HDBSCAN,B-Clustering,0.4286,0.1,0.3162,SaltoCalibracion,0.4,20,300,ambiental
HDBSCAN,B-Clustering,0.4286,0.1,0.3162,DerivaSensor,0.7,20,300,ambiental
HDBSCAN,B-Clustering,0.4286,0.1,0.3162,SensorCongelado,0.25,20,300,ambiental
HDBSCAN,B-Clustering,0.4286,0.1,0.3162,PicoTransitorio,0.3,20,300,ambiental
HDBSCAN,B-Clustering,0.4286,0.1,0.3162,RuidoElectronico,0.35,20,300,ambiental
HDBSCAN,B-Clustering,0.4286,0.1,0.3162,DesacopleCanales,0.0,20,300,ambiental
HDBSCAN,B-Clustering,0.4286,0.1,0.3162,RafagaMuestreo,1.0,20,300,ambiental
LOF,B-Clustering,0.8429,0.1,0.0183,SaltoCalibracion,0.7,20,300,ambiental
LOF,B-Clustering,0.8429,0.1,0.0183,DerivaSensor,0.95,20,300,ambiental
LOF,B-Clustering,0.8429,0.1,0.0183,SensorCongelado,0.35,20,300,ambiental
LOF,B-Clustering,0.8429,0.1,0.0183,PicoTransitorio,0.95,20,300,ambiental
