Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
HDBSCAN,B-Clustering,0.5143,0.1,0.0801,FugaMemoria,0.95,20,320,it
HDBSCAN,B-Clustering,0.5143,0.1,0.0801,CaidaServicio,0.2,20,320,it
HDBSCAN,B-Clustering,0.5143,0.1,0.0801,CriptoMineria,0.2,20,320,it
HDBSCAN,B-Clustering,0.5143,0.1,0.0801,EscaneoPuertos,0.2,20,320,it
HDBSCAN,B-Clustering,0.5143,0.1,0.0801,Exfiltracion,0.05,20,320,it
HDBSCAN,B-Clustering,0.5143,0.1,0.0801,DegradacionDisco,1.0,20,320,it
LOF,B-Clustering,0.8571,0.1,0.0397,DDoS,1.0,20,320,it
LOF,B-Clustering,0.8571,0.1,0.0397,FugaMemoria,1.0,20,320,it
LOF,B-Clustering,0.8571,0.1,0.0397,CaidaServicio,0.9,20,320,it
LOF,B-Clustering,0.8571,0.1,0.0397,CriptoMineria,1.0,20,320,it
LOF,B-Clustering,0.8571,0.1,0.0397,EscaneoPuertos,0.65,20,320,it
LOF,B-Clustering,0.8571,0.1,0.0397,Exfiltracion,0.45,20,320,it
LOF,B-Clustering,0.8571,0.1,0.0397,DegradacionDisco,1.0,20,320,it
OPTICS,B-Clustering,1.0,0.0625,0.0,DDoS,1.0,20,320,it
OPTICS,B-Clustering,1.0,0.0625,0.0,FugaMemoria,1.0,20,320,it
OPTICS,B-Clustering,1.0,0.0625,0.0,CaidaServicio,1.0,20,320,it
OPTICS,B-Clustering,1.0,0.0625,0.0,CriptoMineria,1.0,20,320,it
OPTICS,B-Clustering,1.0,0.0625,0.0,EscaneoPuertos,1.0,20,320,it
OPTICS,B-Clustering,1.0,0.0625,0.0,Exfiltracion,1.0,20,320,it
OPTICS,B-Clustering,1.0,0.0625,0.0,DegradacionDisco,1.0,20,320,it
IForest,C-ML,0.7714,0.1,0.2988,DDoS,1.0,20,320,it
IForest,C-ML,0.7714,0.1,0.2988,FugaMemoria,1.0,20,320,it
IForest,C-ML,0.7714,0.1,0.2988,CaidaServicio,0.3,20,320,it
IForest,C-ML,0.7714,0.1,0.2988,CriptoMineria,1.0,20,320,it
IForest,C-ML,0.7714,0.1,0.2988,EscaneoPuertos,0.7,20,320,it
IForest,C-ML,0.7714,0.1,0.2988,Exfiltracion,0.4,20,320,it
IForest,C-ML,0.7714,0.1,0.2988,DegradacionDisco,1.0,20,320,it
OCSVM,C-ML,0.9357,0.1,0.4182,DDoS,1.0,20,320,it
OCSVM,C-ML,0.9357,0.1,0.4182,FugaMemoria,1.0,20,320,it
OCSVM,C-ML,0.9357,0.1,0.4182,CaidaServicio,1.0,20,320,it
OCSVM,C-ML,0.9357,0.1,0.4182,CriptoMineria,1.0,20,320,it
OCSVM,C-ML,0.9357,0.1,0.4182,EscaneoPuertos,0.85,20,320,it
OCSVM,C-ML,0.9357,0.1,0.4182,Exfiltracion,0.7,20,320,it
OCSVM,C-ML,0.9357,0.1,0.4182,DegradacionDisco,1.0,20,320,it
Autoencoder,C-ML,0.9357,0.1,0.0509,DDoS,1.0,20,320,it
Autoencoder,C-ML,0.9357,0.1,0.0509,FugaMemoria,1.0,20,320,it
Autoencoder,C-ML,0.9357,0.1,0.0509,CaidaServicio,1.0,20,320,it
Autoencoder,C-ML,0.9357,0.1,0.0509,CriptoMineria,1.0,20,320,it
Autoencoder,C-ML,0.9357,0.1,0.0509,EscaneoPuertos,0.9,20,320,it
Autoencoder,C-ML,0.9357,0.1,0.0509,Exfiltracion,0.65,20,320,it
Autoencoder,C-ML,0.9357,0.1,0.0509,DegradacionDisco,1.0,20,320,it
RobustPCA,D-Alternativo,0.7357,0.1,0.0728,DDoS,1.0,20,320,it
