casa_idx,tipo,detector,familia,score_raw,score_norm,tau_norm,detectado
2,SuddenDrop,Conformal,D-Alternativo,0.758621,0.762423,0.914164,False
2,SyntheticNoise,Conformal,D-Alternativo,0.034483,0.027638,0.914164,False
2,FlatLine,Conformal,D-Alternativo,0.482759,0.482505,0.914164,False
2,SpikeEvent,Conformal,D-Alternativo,0.655172,0.657454,0.914164,False
3,normal,Conformal,D-Alternativo,0.275862,0.272567,0.914164,False
3,PartialBypass,Conformal,D-Alternativo,0.655172,0.657454,0.914164,False
3,Smoothing,Conformal,D-Alternativo,0.206897,0.202587,0.914164,False
3,FlipSchedule,Conformal,D-Alternativo,0.62069,0.622464,0.914164,False
3,SuddenDrop,Conformal,D-Alternativo,0.758621,0.762423,0.914164,False
3,SyntheticNoise,Conformal,D-Alternativo,0.37931,0.377536,0.914164,False
3,FlatLine,Conformal,D-Alternativo,0.448276,0.447515,0.914164,False
3,SpikeEvent,Conformal,D-Alternativo,0.275862,0.272567,0.914164,False
4,normal,Conformal,D-Alternativo,0.0,0.0,0.914164,False
4,PartialBypass,Conformal,D-Alternativo,0.62069,0.622464,0.914164,False
4,Smoothing,Conformal,D-Alternativo,0.206897,0.202587,0.914164,False
4,FlipSchedule,Conformal,D-Alternativo,0.413793,0.412526,0.914164,False
4,SuddenDrop,Conformal,D-Alternativo,0.758621,0.762423,0.914164,False
4,SyntheticNoise,Conformal,D-Alternativo,0.034483,0.027638,0.914164,False
4,FlatLine,Conformal,D-Alternativo,0.241379,0.237577,0.914164,False
4,SpikeEvent,Conformal,D-Alternativo,0.896552,0.902382,0.914164,False
5,normal,Conformal,D-Alternativo,0.37931,0.377536,0.914164,False
5,PartialBypass,Conformal,D-Alternativo,0.344828,0.342546,0.914164,False
5,Smoothing,Conformal,D-Alternativo,0.275862,0.272567,0.914164,False
5,FlipSchedule,Conformal,D-Alternativo,0.413793,0.412526,0.914164,False
5,SuddenDrop,Conformal,D-Alternativo,0.793103,0.797413,0.914164,False
5,SyntheticNoise,Conformal,D-Alternativo,0.413793,0.412526,0.914164,False
5,FlatLine,Conformal,D-Alternativo,0.517241,0.517495,0.914164,False
5,SpikeEvent,Conformal,D-Alternativo,0.896552,0.902382,0.914164,False
6,normal,Conformal,D-Alternativo,0.517241,0.517495,0.914164,False
6,PartialBypass,Conformal,D-Alternativo,0.275862,0.272567,0.914164,False
6,Smoothing,Conformal,D-Alternativo,0.37931,0.377536,0.914164,False
6,FlipSchedule,Conformal,D-Alternativo,0.689655,0.692444,0.914164,False
6,SuddenDrop,Conformal,D-Alternativo,0.758621,0.762423,0.914164,False
6,SyntheticNoise,Conformal,D-Alternativo,0.62069,0.622464,0.914164,False
6,FlatLine,Conformal,D-Alternativo,0.655172,0.657454,0.914164,False
6,SpikeEvent,Conformal,D-Alternativo,0.758621,0.762423,0.914164,False
7,normal,Conformal,D-Alternativo,0.896552,0.902382,0.914164,False
7,PartialBypass,Conformal,D-Alternativo,0.551724,0.552485,0.914164,False
7,Smoothing,Conformal,D-Alternativo,0.586207,0.587474,0.914164,False
7,FlipSchedule,Conformal,D-Alternativo,0.896552,0.902382,0.914164,False
7,SuddenDrop,Conformal,D-Alternativo,0.758621,0.762423,0.914164,False
7,SyntheticNoise,Conformal,D-Alternativo,0.931034,0.937372,0.914164,True
7,FlatLine,Conformal,D-Alternativo,0.896552,0.902382,0.914164,False
7,SpikeEvent,Conformal,D-Alternativo,0.896552,0.902382,0.914164,False
8,normal,Conformal,D-Alternativo,0.896552,0.902382,0.914164,False
8,PartialBypass,Conformal,D-Alternativo,0.517241,0.517495,0.914164,False
8,Smoothing,Conformal,D-Alternativo,0.758621,0.762423,0.914164,False
8,FlipSchedule,Conformal,D-Alternativo,0.896552,0.902382,0.914164,False
8,SuddenDrop,Conformal,D-Alternativo,0.689655,0.692444,0.914164,False
8,SyntheticNoise,Conformal,D-Alternativo,0.896552,0.902382,0.914164,False
8,FlatLine,Conformal,D-Alternativo,0.896552,0.902382,0.914164,False
8,SpikeEvent,Conformal,D-Alternativo,1.0,1.007351,0.914164,True
9,normal,Conformal,D-Alternativo,1.0,1.007351,0.914164,True
9,PartialBypass,Conformal,D-Alternativo,0.413793,0.412526,0.914164,False
9,Smoothing,Conformal,D-Alternativo,0.965517,0.972362,0.914164,True
9,FlipSchedule,Conformal,D-Alternativo,1.0,1.007351,0.914164,True
9,SuddenDrop,Conformal,D-Alternativo,0.689655,0.692444,0.914164,False
9,SyntheticNoise,Conformal,D-Alternativo,1.0,1.007351,0.914164,True
9,FlatLine,Conformal,D-Alternativo,1.0,1.007351,0.914164,True
9,SpikeEvent,Conformal,D-Alternativo,1.0,1.007351,0.914164,True
0,normal,GMM,A-Estadistico,0.085105,0.0,0.968504,False
0,PartialBypass,GMM,A-Estadistico,0.130831,0.0,0.968504,False
0,Smoothing,GMM,A-Estadistico,0.06501,0.0,0.968504,False
0,FlipSchedule,GMM,A-Estadistico,0.095984,0.0,0.968504,False
0,SuddenDrop,GMM,A-Estadistico,0.203339,0.0,0.968504,False
0,SyntheticNoise,GMM,A-Estadistico,0.084869,0.0,0.968504,False
0,FlatLine,GMM,A-Estadistico,0.112542,0.0,0.968504,False
0,SpikeEvent,GMM,A-Estadistico,0.245558,0.037808,0.968504,False
1,normal,GMM,A-Estadistico,0.03931,0.0,0.968504,False
1,PartialBypass,GMM,A-Estadistico,0.096011,0.0,0.968504,False
1,Smoothing,GMM,A-Estadistico,0.040522,0.0,0.968504,False
1,FlipSchedule,GMM,A-Estadistico,0.20764,0.0,0.968504,False
1,SuddenDrop,GMM,A-Estadistico,0.204868,0.0,0.968504,False
1,SyntheticNoise,GMM,A-Estadistico,0.04373,0.0,0.968504,False
1,FlatLine,GMM,A-Estadistico,0.054507,0.0,0.968504,False
1,SpikeEvent,GMM,A-Estadistico,0.12723,0.0,0.968504,False
2,normal,GMM,A-Estadistico,0.018841,0.0,0.968504,False
2,PartialBypass,GMM,A-Estadistico,0.102087,0.0,0.968504,False
2,Smoothing,GMM,A-Estadistico,0.043415,0.0,0.968504,False
2,FlipSchedule,GMM,A-Estadistico,0.103836,0.0,0.968504,False
2,SuddenDrop,GMM,A-Estadistico,0.193168,0.0,0.968504,False
2,SyntheticNoise,GMM,A-Estadistico,0.018407,0.0,0.968504,False
2,FlatLine,GMM,A-Estadistico,0.07314,0.0,0.968504,False
2,SpikeEvent,GMM,A-Estadistico,0.013539,0.0,0.968504,False
3,normal,GMM,A-Estadistico,0.04877,0.0,0.968504,False
3,PartialBypass,GMM,A-Estadistico,0.119206,0.0,0.968504,False
3,Smoothing,GMM,A-Estadistico,0.025588,0.0,0.968504,False
