,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d2,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigKernel_d3,SigMaHaKNN_d4_k3,SigMaHaKNN_d4_k10,SigMaHaKNN_d4_k20,SigKernel_d4
Autoencoder,1.0,0.625,0.5,0.6,0.4545454545454545,0.0,0.5555555555555556,0.5555555555555556,0.5714285714285714,0.75,1.0,1.0,0.8571428571428571,0.1428571428571428,0.1428571428571428,0.125,0.0,0.1428571428571428,0.1428571428571428,0.125,0.0,0.125,0.125,0.125,0.1666666666666666
RobustPCA,1.0,0.625,0.5,0.6,0.4545454545454545,0.0,0.5555555555555556,0.5555555555555556,0.5714285714285714,0.75,1.0,1.0,0.8571428571428571,0.1428571428571428,0.1428571428571428,0.125,0.0,0.1428571428571428,0.1428571428571428,0.125,0.0,0.125,0.125,0.125,0.1666666666666666
Conformal,0.8571428571428571,0.75,0.6,0.7,0.5454545454545454,0.0,0.6666666666666666,0.6666666666666666,0.5,0.875,0.8571428571428571,0.8571428571428571,1.0,0.2857142857142857,0.2857142857142857,0.25,0.0,0.125,0.125,0.25,0.125,0.25,0.25,0.25,0.1428571428571428
SigMaHaKNN_d2_k3,0.1428571428571428,0.2857142857142857,0.2222222222222222,0.2,0.2,0.0,0.25,0.25,0.1666666666666666,0.25,0.1428571428571428,0.1428571428571428,0.2857142857142857,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5
SigMaHaKNN_d2_k10,0.1428571428571428,0.2857142857142857,0.2222222222222222,0.2,0.2,0.0,0.25,0.25,0.1666666666666666,0.25,0.1428571428571428,0.1428571428571428,0.2857142857142857,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5
SigMaHaKNN_d2_k20,0.125,0.25,0.2,0.1818181818181818,0.1818181818181818,0.0,0.375,0.2222222222222222,0.1428571428571428,0.2222222222222222,0.125,0.125,0.25,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333
SigKernel_d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SigMaHaKNN_d3_k3,0.1428571428571428,0.125,0.1,0.0909090909090909,0.0909090909090909,0.0,0.25,0.1111111111111111,0.1666666666666666,0.1111111111111111,0.1428571428571428,0.1428571428571428,0.125,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5
SigMaHaKNN_d3_k10,0.1428571428571428,0.125,0.1,0.0909090909090909,0.0909090909090909,0.0,0.25,0.1111111111111111,0.1666666666666666,0.1111111111111111,0.1428571428571428,0.1428571428571428,0.125,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5
SigMaHaKNN_d3_k20,0.125,0.25,0.2,0.1818181818181818,0.1818181818181818,0.0,0.375,0.2222222222222222,0.1428571428571428,0.2222222222222222,0.125,0.125,0.25,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333
SigKernel_d3,0.0,0.125,0.1,0.0909090909090909,0.0909090909090909,0.0,0.25,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.125,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
SigMaHaKNN_d4_k3,0.125,0.25,0.2,0.1818181818181818,0.1818181818181818,0.0,0.375,0.2222222222222222,0.1428571428571428,0.2222222222222222,0.125,0.125,0.25,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333
SigMaHaKNN_d4_k10,0.125,0.25,0.2,0.1818181818181818,0.1818181818181818,0.0,0.375,0.2222222222222222,0.1428571428571428,0.2222222222222222,0.125,0.125,0.25,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333
SigMaHaKNN_d4_k20,0.125,0.25,0.2,0.1818181818181818,0.1818181818181818,0.0,0.375,0.2222222222222222,0.1428571428571428,0.2222222222222222,0.125,0.125,0.25,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333
SigKernel_d4,0.1666666666666666,0.1428571428571428,0.1111111111111111,0.1,0.1,0.0,0.125,0.125,0.2,0.125,0.1666666666666666,0.1666666666666666,0.1428571428571428,0.5,0.5,0.3333333333333333,0.0,0.5,0.5,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
