,RobustZMAD,PCAT2Q,KDE,GMM,KMeans,HDBSCAN,LOF,OPTICS,IForest,OCSVM,Autoencoder,RobustPCA,Conformal,SigMaHaKNN_d2_k3,SigMaHaKNN_d2_k10,SigMaHaKNN_d2_k20,SigKernel_d2,SigMaHaKNN_d3_k3,SigMaHaKNN_d3_k10,SigMaHaKNN_d3_k20,SigKernel_d3,SigMaHaKNN_d4_k3,SigMaHaKNN_d4_k10,SigMaHaKNN_d4_k20,SigKernel_d4
Autoencoder,0.875,0.5,0.4545454545454545,0.5,0.4782608695652174,0.0,0.4782608695652174,0.4761904761904761,0.4444444444444444,0.6666666666666666,1.0,1.0,0.7222222222222222,0.125,0.125,0.0434782608695652,0.0,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.0384615384615384,0.16,0.16,0.1538461538461538,0.0952380952380952
RobustPCA,0.875,0.5,0.4545454545454545,0.5,0.4782608695652174,0.0,0.4782608695652174,0.4761904761904761,0.4444444444444444,0.6666666666666666,1.0,1.0,0.7222222222222222,0.125,0.125,0.0434782608695652,0.0,0.1304347826086956,0.1304347826086956,0.1304347826086956,0.0384615384615384,0.16,0.16,0.1538461538461538,0.0952380952380952
Conformal,0.65,0.65,0.5909090909090909,0.6956521739130435,0.6086956521739131,0.0,0.48,0.6190476190476191,0.5263157894736842,0.8095238095238095,0.7222222222222222,0.7222222222222222,1.0,0.2,0.2,0.125,0.0,0.16,0.16,0.2083333333333333,0.1111111111111111,0.28,0.28,0.2692307692307692,0.0833333333333333
SigMaHaKNN_d2_k3,0.1153846153846153,0.2083333333333333,0.1481481481481481,0.1666666666666666,0.1785714285714285,0.0,0.1785714285714285,0.1538461538461538,0.0869565217391304,0.1724137931034483,0.125,0.125,0.2,1.0,1.0,0.6428571428571429,0.0,0.5625,0.5625,0.6666666666666666,0.1818181818181818,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.0476190476190476
SigMaHaKNN_d2_k10,0.1153846153846153,0.2083333333333333,0.1481481481481481,0.1666666666666666,0.1785714285714285,0.0,0.1785714285714285,0.1538461538461538,0.0869565217391304,0.1724137931034483,0.125,0.125,0.2,1.0,1.0,0.6428571428571429,0.0,0.5625,0.5625,0.6666666666666666,0.1818181818181818,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.0476190476190476
SigMaHaKNN_d2_k20,0.04,0.1818181818181818,0.12,0.1428571428571428,0.1538461538461538,0.0,0.1538461538461538,0.125,0.0476190476190476,0.1071428571428571,0.0434782608695652,0.0434782608695652,0.125,0.6428571428571429,0.6428571428571429,1.0,0.0,0.5714285714285714,0.5714285714285714,0.6923076923076923,0.2105263157894736,0.5625,0.5625,0.625,0.0555555555555555
SigKernel_d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
SigMaHaKNN_d3_k3,0.12,0.1666666666666666,0.1111111111111111,0.1333333333333333,0.1428571428571428,0.0,0.1428571428571428,0.1153846153846153,0.0909090909090909,0.1379310344827586,0.1304347826086956,0.1304347826086956,0.16,0.5625,0.5625,0.5714285714285714,0.0,1.0,1.0,0.8461538461538461,0.1363636363636363,0.5882352941176471,0.5882352941176471,0.5555555555555556,0.05
SigMaHaKNN_d3_k10,0.12,0.1666666666666666,0.1111111111111111,0.1333333333333333,0.1428571428571428,0.0,0.1428571428571428,0.1153846153846153,0.0909090909090909,0.1379310344827586,0.1304347826086956,0.1304347826086956,0.16,0.5625,0.5625,0.5714285714285714,0.0,1.0,1.0,0.8461538461538461,0.1363636363636363,0.5882352941176471,0.5882352941176471,0.5555555555555556,0.05
SigMaHaKNN_d3_k20,0.12,0.217391304347826,0.1538461538461538,0.1724137931034483,0.1851851851851851,0.0,0.1851851851851851,0.16,0.0909090909090909,0.1785714285714285,0.1304347826086956,0.1304347826086956,0.2083333333333333,0.6666666666666666,0.6666666666666666,0.6923076923076923,0.0,0.8461538461538461,0.8461538461538461,1.0,0.1904761904761904,0.6875,0.6875,0.6470588235294118,0.05
SigKernel_d3,0.074074074074074,0.074074074074074,0.0689655172413793,0.0606060606060606,0.03125,0.0,0.1,0.0714285714285714,0.0416666666666666,0.0967741935483871,0.0384615384615384,0.0384615384615384,0.1111111111111111,0.1818181818181818,0.1818181818181818,0.2105263157894736,0.0,0.1363636363636363,0.1363636363636363,0.1904761904761904,1.0,0.217391304347826,0.217391304347826,0.3181818181818182,0.0476190476190476
SigMaHaKNN_d4_k3,0.1481481481481481,0.2916666666666667,0.2222222222222222,0.2333333333333333,0.2068965517241379,0.0,0.25,0.2307692307692307,0.1739130434782608,0.2413793103448276,0.16,0.16,0.28,0.5555555555555556,0.5555555555555556,0.5625,0.0,0.5882352941176471,0.5882352941176471,0.6875,0.217391304347826,1.0,1.0,0.8235294117647058,0.1428571428571428
SigMaHaKNN_d4_k10,0.1481481481481481,0.2916666666666667,0.2222222222222222,0.2333333333333333,0.2068965517241379,0.0,0.25,0.2307692307692307,0.1739130434782608,0.2413793103448276,0.16,0.16,0.28,0.5555555555555556,0.5555555555555556,0.5625,0.0,0.5882352941176471,0.5882352941176471,0.6875,0.217391304347826,1.0,1.0,0.8235294117647058,0.1428571428571428
SigMaHaKNN_d4_k20,0.1428571428571428,0.28,0.2142857142857142,0.2258064516129032,0.2,0.0,0.2,0.2222222222222222,0.1666666666666666,0.2333333333333333,0.1538461538461538,0.1538461538461538,0.2692307692307692,0.6111111111111112,0.6111111111111112,0.625,0.0,0.5555555555555556,0.5555555555555556,0.6470588235294118,0.3181818181818182,0.8235294117647058,0.8235294117647058,1.0,0.0869565217391304
SigKernel_d4,0.1363636363636363,0.0869565217391304,0.08,0.0689655172413793,0.074074074074074,0.0,0.1153846153846153,0.0833333333333333,0.1052631578947368,0.0714285714285714,0.0952380952380952,0.0952380952380952,0.0833333333333333,0.0476190476190476,0.0476190476190476,0.0555555555555555,0.25,0.05,0.05,0.05,0.0476190476190476,0.1428571428571428,0.1428571428571428,0.0869565217391304,1.0
