Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
Conformal,D-Alternativo,0.1714,0.1017,0.9186,SpikeEvent,0.6,5,118,single_house
SigMaHaKNN_d2_k3,Signatures,0.2,0.1017,0.3942,PartialBypass,0.4,5,118,single_house
SigMaHaKNN_d2_k3,Signatures,0.2,0.1017,0.3942,Smoothing,0.0,5,118,single_house
SigMaHaKNN_d2_k3,Signatures,0.2,0.1017,0.3942,FlipSchedule,0.0,5,118,single_house
SigMaHaKNN_d2_k3,Signatures,0.2,0.1017,0.3942,SuddenDrop,0.2,5,118,single_house
SigMaHaKNN_d2_k3,Signatures,0.2,0.1017,0.3942,SyntheticNoise,0.0,5,118,single_house
SigMaHaKNN_d2_k3,Signatures,0.2,0.1017,0.3942,FlatLine,0.4,5,118,single_house
SigMaHaKNN_d2_k3,Signatures,0.2,0.1017,0.3942,SpikeEvent,0.4,5,118,single_house
SigMaHaKNN_d2_k10,Signatures,0.2,0.1017,0.3942,PartialBypass,0.4,5,118,single_house
SigMaHaKNN_d2_k10,Signatures,0.2,0.1017,0.3942,Smoothing,0.0,5,118,single_house
SigMaHaKNN_d2_k10,Signatures,0.2,0.1017,0.3942,FlipSchedule,0.0,5,118,single_house
SigMaHaKNN_d2_k10,Signatures,0.2,0.1017,0.3942,SuddenDrop,0.2,5,118,single_house
SigMaHaKNN_d2_k10,Signatures,0.2,0.1017,0.3942,SyntheticNoise,0.0,5,118,single_house
SigMaHaKNN_d2_k10,Signatures,0.2,0.1017,0.3942,FlatLine,0.4,5,118,single_house
SigMaHaKNN_d2_k10,Signatures,0.2,0.1017,0.3942,SpikeEvent,0.4,5,118,single_house
SigMaHaKNN_d2_k20,Signatures,0.0857,0.1017,0.505,PartialBypass,0.0,5,118,single_house
SigMaHaKNN_d2_k20,Signatures,0.0857,0.1017,0.505,Smoothing,0.0,5,118,single_house
SigMaHaKNN_d2_k20,Signatures,0.0857,0.1017,0.505,FlipSchedule,0.0,5,118,single_house
SigMaHaKNN_d2_k20,Signatures,0.0857,0.1017,0.505,SuddenDrop,0.0,5,118,single_house
SigMaHaKNN_d2_k20,Signatures,0.0857,0.1017,0.505,SyntheticNoise,0.0,5,118,single_house
SigMaHaKNN_d2_k20,Signatures,0.0857,0.1017,0.505,FlatLine,0.2,5,118,single_house
SigMaHaKNN_d2_k20,Signatures,0.0857,0.1017,0.505,SpikeEvent,0.4,5,118,single_house
SigKernel_d2,Signatures,0.0571,0.1017,0.4187,PartialBypass,0.0,5,118,single_house
