Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
SigKernel_d2,Signatures,0.0536,0.1003,0.1408,FlatLine,0.125,16,349,monthly
SigKernel_d2,Signatures,0.0536,0.1003,0.1408,SpikeEvent,0.0,16,349,monthly
SigMaHaKNN_d3_k3,Signatures,0.1071,0.1003,0.2235,PartialBypass,0.0625,16,349,monthly
SigMaHaKNN_d3_k3,Signatures,0.1071,0.1003,0.2235,Smoothing,0.0,16,349,monthly
SigMaHaKNN_d3_k3,Signatures,0.1071,0.1003,0.2235,FlipSchedule,0.125,16,349,monthly
SigMaHaKNN_d3_k3,Signatures,0.1071,0.1003,0.2235,SuddenDrop,0.0625,16,349,monthly
SigMaHaKNN_d3_k3,Signatures,0.1071,0.1003,0.2235,SyntheticNoise,0.25,16,349,monthly
SigMaHaKNN_d3_k3,Signatures,0.1071,0.1003,0.2235,FlatLine,0.125,16,349,monthly
SigMaHaKNN_d3_k3,Signatures,0.1071,0.1003,0.2235,SpikeEvent,0.125,16,349,monthly
SigMaHaKNN_d3_k10,Signatures,0.1071,0.1003,0.2235,PartialBypass,0.0625,16,349,monthly
SigMaHaKNN_d3_k10,Signatures,0.1071,0.1003,0.2235,Smoothing,0.0,16,349,monthly
SigMaHaKNN_d3_k10,Signatures,0.1071,0.1003,0.2235,FlipSchedule,0.125,16,349,monthly
SigMaHaKNN_d3_k10,Signatures,0.1071,0.1003,0.2235,SuddenDrop,0.0625,16,349,monthly
SigMaHaKNN_d3_k10,Signatures,0.1071,0.1003,0.2235,SyntheticNoise,0.25,16,349,monthly
SigMaHaKNN_d3_k10,Signatures,0.1071,0.1003,0.2235,FlatLine,0.125,16,349,monthly
SigMaHaKNN_d3_k10,Signatures,0.1071,0.1003,0.2235,SpikeEvent,0.125,16,349,monthly
SigMaHaKNN_d3_k20,Signatures,0.1071,0.1003,0.2979,PartialBypass,0.0625,16,349,monthly
SigMaHaKNN_d3_k20,Signatures,0.1071,0.1003,0.2979,Smoothing,0.0,16,349,monthly
SigMaHaKNN_d3_k20,Signatures,0.1071,0.1003,0.2979,FlipSchedule,0.1875,16,349,monthly
SigMaHaKNN_d3_k20,Signatures,0.1071,0.1003,0.2979,SuddenDrop,0.0,16,349,monthly
SigMaHaKNN_d3_k20,Signatures,0.1071,0.1003,0.2979,SyntheticNoise,0.25,16,349,monthly
SigMaHaKNN_d3_k20,Signatures,0.1071,0.1003,0.2979,FlatLine,0.125,16,349,monthly
SigMaHaKNN_d3_k20,Signatures,0.1071,0.1003,0.2979,SpikeEvent,0.125,16,349,monthly
SigKernel_d3,Signatures,0.1161,0.1003,0.9295,PartialBypass,0.1875,16,349,monthly
SigKernel_d3,Signatures,0.1161,0.1003,0.9295,Smoothing,0.0625,16,349,monthly
SigKernel_d3,Signatures,0.1161,0.1003,0.9295,FlipSchedule,0.125,16,349,monthly
SigKernel_d3,Signatures,0.1161,0.1003,0.9295,SuddenDrop,0.0,16,349,monthly
SigKernel_d3,Signatures,0.1161,0.1003,0.9295,SyntheticNoise,0.1875,16,349,monthly
SigKernel_d3,Signatures,0.1161,0.1003,0.9295,FlatLine,0.1875,16,349,monthly
SigKernel_d3,Signatures,0.1161,0.1003,0.9295,SpikeEvent,0.0625,16,349,monthly
SigMaHaKNN_d4_k3,Signatures,0.1339,0.1003,0.054,PartialBypass,0.0625,16,349,monthly
SigMaHaKNN_d4_k3,Signatures,0.1339,0.1003,0.054,Smoothing,0.0,16,349,monthly
SigMaHaKNN_d4_k3,Signatures,0.1339,0.1003,0.054,FlipSchedule,0.1875,16,349,monthly
SigMaHaKNN_d4_k3,Signatures,0.1339,0.1003,0.054,SuddenDrop,0.0,16,349,monthly
SigMaHaKNN_d4_k3,Signatures,0.1339,0.1003,0.054,SyntheticNoise,0.25,16,349,monthly
SigMaHaKNN_d4_k3,Signatures,0.1339,0.1003,0.054,FlatLine,0.1875,16,349,monthly
SigMaHaKNN_d4_k3,Signatures,0.1339,0.1003,0.054,SpikeEvent,0.25,16,349,monthly
SigMaHaKNN_d4_k10,Signatures,0.1339,0.1003,0.054,PartialBypass,0.0625,16,349,monthly
SigMaHaKNN_d4_k10,Signatures,0.1339,0.1003,0.054,Smoothing,0.0,16,349,monthly
SigMaHaKNN_d4_k10,Signatures,0.1339,0.1003,0.054,FlipSchedule,0.1875,16,349,monthly
SigMaHaKNN_d4_k10,Signatures,0.1339,0.1003,0.054,SuddenDrop,0.0,16,349,monthly
